singular	plural	source
مشروع	مشاريع	qalsadi-nouns
مشط	امشاط	qalsadi-nouns
مشعال	مشاعيل	qalsadi-nouns
مشعب	مشاعب	qalsadi-nouns
مشعر	مشاعر	qalsadi-nouns
مشعل	مشاعل	qalsadi-nouns
مشغل	مشاغل	qalsadi-nouns
مشفا	مشفيات	qalsadi-nouns
مشفر	مشافر	qalsadi-nouns
مشقة	مشاق	qalsadi-nouns
مشقة	مشقات	qalsadi-nouns
مشك	مشاك	qalsadi-nouns
مشكاة	مشكاوات	qalsadi-nouns
مشكاة	مشاك	qalsadi-nouns
مشكاة	المشا	qalsadi-nouns
مشكة	مشاك	qalsadi-nouns
مشكل	مشاكل	qalsadi-nouns
مشل	مشالل	qalsadi-nouns
مشمال	مشاميل	qalsadi-nouns
مشمل	مشامل	qalsadi-nouns
مشنقة	مشانق	qalsadi-nouns
مشهد	مشاهد	qalsadi-nouns
مشهور	مشاهير	qalsadi-nouns
مشواة	مشاوالمشاوي	qalsadi-nouns
مشوار	مشاوير	qalsadi-nouns
مشورة	ات	qalsadi-nouns
مشيج	امشاج	qalsadi-nouns
مصابيح	مفردمصباح	qalsadi-nouns
مصاد	مصايد	qalsadi-nouns
مصاريف	مفردمصروف	qalsadi-nouns
مصاعب	مفردمصعب	qalsadi-nouns
مصاف	مفردمصف	qalsadi-nouns
مصانع	مفردمصنع	qalsadi-nouns
مصب	مصاب	qalsadi-nouns
مصباح	مصابيح	qalsadi-nouns
مصبغة	مصابغ	qalsadi-nouns
مصحف	مصاحف	qalsadi-nouns
مصدر	مصادر	qalsadi-nouns
مصر	امصار	qalsadi-nouns
مصراع	مصاريع	qalsadi-nouns
مصرع	مصارع	qalsadi-nouns
مصرف	مصارف	qalsadi-nouns
مصروف	مصاريف	qalsadi-nouns
مصعد	مصاعد	qalsadi-nouns
مصف	مصاف	qalsadi-nouns
مصفاة	مصاف	qalsadi-nouns
مصقع	مصاقع	qalsadi-nouns
مصل	مصول	qalsadi-nouns
مصلا	مصليات	qalsadi-nouns
مصلاة	مصال	qalsadi-nouns
مصلاة	المصالي	qalsadi-nouns
مصلحة	مصالح	qalsadi-nouns
مصنع	مصانع	qalsadi-nouns
مصيبة	مصاءب	qalsadi-nouns
مصيدة	مصاءد	qalsadi-nouns
مصير	مصران	qalsadi-nouns
مصير	امصرة	qalsadi-nouns
مصير	مصاري	qalsadi-nouns
مصير	مصاير	qalsadi-nouns
مصيف	مصايف	qalsadi-nouns
مضجر	مضاجر	qalsadi-nouns
مضجع	مضاجع	qalsadi-nouns
مضحاك	مضاحيك	qalsadi-nouns
مضراب	مضاريب	qalsadi-nouns
مضرب	مضارب	qalsadi-nouns
مضرة	ات	qalsadi-nouns
مضرة	مضار	qalsadi-nouns
مضغة	مضغلايجوزجمعمذكرسالم	qalsadi-nouns
مضغط	مضاغط	qalsadi-nouns
مضمار	مضامير	qalsadi-nouns
مضمون	مضامين	qalsadi-nouns
مضنة	مضان	qalsadi-nouns
مضياف	مضاييف	qalsadi-nouns
مضيق	مضايق	qalsadi-nouns
مطابق	ون	qalsadi-nouns
مطار	ات	qalsadi-nouns
مطارد	ون	qalsadi-nouns
مطاردة	ات	qalsadi-nouns
مطالب	ون	qalsadi-nouns
مطالب	مفردمطلب	qalsadi-nouns
مطالع	ون	qalsadi-nouns
مطاوح	مفردمطاح	qalsadi-nouns
مطاوي	مفردمطواة	qalsadi-nouns
مطبخ	مطابخ	qalsadi-nouns
مطبعة	مطابع	qalsadi-nouns
مطحنة	مطاحن	qalsadi-nouns
مطر	امطار	qalsadi-nouns
مطراق	مطاريق	qalsadi-nouns
مطران	مطارنة	qalsadi-nouns
مطران	مطارين	qalsadi-nouns
مطرح	مطارح	qalsadi-nouns
مطرز	ون	qalsadi-nouns
مطرقة	مطارق	qalsadi-nouns
مطعم	مطاعم	qalsadi-nouns
مطعن	مطاعن	qalsadi-nouns
مطفاة	مطافء	qalsadi-nouns
مطلب	مطالب	qalsadi-nouns
مطلع	مطالع	qalsadi-nouns
مطلمة	مطالم	qalsadi-nouns
مطمار	مطامير	qalsadi-nouns
مطمح	مطامح	qalsadi-nouns
مطمر	مطامر	qalsadi-nouns
مطمع	مطامع	qalsadi-nouns
مطمور	ات	qalsadi-nouns
مطمور	مطامير	qalsadi-nouns
مطنب	مطانب	qalsadi-nouns
مطهاة	مطاه	qalsadi-nouns
مطهرة	مطاهر	qalsadi-nouns
مطواح	مطاويح	qalsadi-nouns
مطواع	مطاويع	qalsadi-nouns
مطيبة	مطايب	qalsadi-nouns
مطية	مطايا	qalsadi-nouns
مطية	مطيمء	qalsadi-nouns
مطية	مذ	qalsadi-nouns
مطيلة	مطاءل	qalsadi-nouns
مظان	مفردمظنة	qalsadi-nouns
مظفار	مظافير	qalsadi-nouns
مظلة	مظال	qalsadi-nouns
مظنة	مظان	qalsadi-nouns
مظهر	مظاهر	qalsadi-nouns
معا	امعاء	qalsadi-nouns
معا	امعية	qalsadi-nouns
معاء	امعية	qalsadi-nouns
معاب	معايب	qalsadi-nouns
معارف	مفردمعرفة	qalsadi-nouns
معاش	معايش	qalsadi-nouns
معاش	معاشات	qalsadi-nouns
معالي	معلاة	qalsadi-nouns
معبد	معابد	qalsadi-nouns
معبر	ون	qalsadi-nouns
معبر	ات	qalsadi-nouns
معبر	معابر	qalsadi-nouns
معتاد	ون	qalsadi-nouns
معتاد	ات	qalsadi-nouns
معتقد	ات	qalsadi-nouns
معتمد	ون	qalsadi-nouns
معتمد	ات	qalsadi-nouns
معتوه	معاتيه	qalsadi-nouns
معجزة	ات	qalsadi-nouns
معجل	معاجل	qalsadi-nouns
معجم	معاجم	qalsadi-nouns
معجن	معاجن	qalsadi-nouns
معجون	معاجين	qalsadi-nouns
معدة	معد	qalsadi-nouns
معدن	معادن	qalsadi-nouns
معذرة	معاذر	qalsadi-nouns
معذرة	معاذير	qalsadi-nouns
معراج	معارج	qalsadi-nouns
معربد	ون	qalsadi-nouns
معربد	ات	qalsadi-nouns
معرض	معارض	qalsadi-nouns
معرض	معاريض	qalsadi-nouns
معرفة	معارف	qalsadi-nouns
معركة	معارك	qalsadi-nouns
معز	ماعز	qalsadi-nouns
معز	امعز	qalsadi-nouns
معزاة	انثاالماعز	qalsadi-nouns
معزز	ون	qalsadi-nouns
معزز	ات	qalsadi-nouns
معزف	معازف	qalsadi-nouns
معزل	معازل	qalsadi-nouns
معسفة	معاسف	qalsadi-nouns
معسلة	معاسل	qalsadi-nouns
معشاب	معاشيب	qalsadi-nouns
معشر	معاشر	qalsadi-nouns
معصار	معاصير	qalsadi-nouns
معصر	معاصر	qalsadi-nouns
معصر	معاصير	qalsadi-nouns
معصرة	معاصر	qalsadi-nouns
معصف	معاصف	qalsadi-nouns
معصم	معاصم	qalsadi-nouns
معصية	معاص	qalsadi-nouns
معصية	المعاصي	qalsadi-nouns
معضل	معاضل	qalsadi-nouns
معطاء	معاط	qalsadi-nouns
معطاء	المعاطي	qalsadi-nouns
معطاءة	معاط	qalsadi-nouns
معطاءة	المعاطي	qalsadi-nouns
معطب	معاطب	qalsadi-nouns
معطرة	ات	qalsadi-nouns
معطس	معاطس	qalsadi-nouns
معطف	معاطف	qalsadi-nouns
معقام	معاقيم	qalsadi-nouns
معقل	معاقل	qalsadi-nouns
معلاق	معاليق	qalsadi-nouns
معلف	معالف	qalsadi-nouns
معلم	معالم	qalsadi-nouns
معمعة	معامع	qalsadi-nouns
معمل	معامل	qalsadi-nouns
معنا	معان	qalsadi-nouns
معنا	المعاني	qalsadi-nouns
معنقة	معانق	qalsadi-nouns
معهد	معاهد	qalsadi-nouns
معوز	معاوز	qalsadi-nouns
معوز	معاوزة	qalsadi-nouns
معول	معاول	qalsadi-nouns
معي	امعاء	qalsadi-nouns
معيار	معايير	qalsadi-nouns
معيشة	معايش	qalsadi-nouns
معيشة	معاءش	qalsadi-nouns
مغارب	مفردمغرب	qalsadi-nouns
مغارة	مغاور	qalsadi-nouns
مغاص	مغاوص	qalsadi-nouns
مغامر	ون	qalsadi-nouns
مغامر	ات	qalsadi-nouns
مغرب	مغارب	qalsadi-nouns
مغربي	مغاربة	qalsadi-nouns
مغرد	ون	qalsadi-nouns
مغرد	ات	qalsadi-nouns
مغرز	مغارز	qalsadi-nouns
مغرفة	مغارف	qalsadi-nouns
مغزا	مغاز	qalsadi-nouns
مغزا	المغازي	qalsadi-nouns
مغزل	مغازل	qalsadi-nouns
مغسل	مغاسل	qalsadi-nouns
مغسلة	مغاسل	qalsadi-nouns
مغص	امغاص	qalsadi-nouns
مغطس	مغاطس	qalsadi-nouns
مغلاة	مغال	qalsadi-nouns
مغلاق	مغاليق	qalsadi-nouns
مغلق	ات	qalsadi-nouns
مغلق	مغالق	qalsadi-nouns
مغماة	ات	qalsadi-nouns
مغمد	ات	qalsadi-nouns
مغمد	مغامد	qalsadi-nouns
مغنا	مغان	qalsadi-nouns
مغنا	المغاني	qalsadi-nouns
مغنم	مغانم	qalsadi-nouns
مغوار	مغاور	qalsadi-nouns
مغير	ون	qalsadi-nouns
مغير	ات	qalsadi-nouns
مفاتن	مفردمفتن	qalsadi-nouns
مفاصل	مفردمفصل	qalsadi-nouns
مفاوز	مفردمفازة	qalsadi-nouns
مفتاح	مفاتيح	qalsadi-nouns
مفترض	ات	qalsadi-nouns
مفترق	ات	qalsadi-nouns
مفتعل	ات	qalsadi-nouns
مفتق	مفاتق	qalsadi-nouns
مفتل	مفاتل	qalsadi-nouns
مفجر	ون	qalsadi-nouns
مفجر	ات	qalsadi-nouns
مفخرة	مفاخر	qalsadi-nouns
مفرد	ات	qalsadi-nouns
مفردتكسير	مذ	qalsadi-nouns
مفردتكسير	مء	qalsadi-nouns
مفردتكسير	الجمع	qalsadi-nouns
مفردتكسير	لف	qalsadi-nouns
مفردتكسير	جمءس	qalsadi-nouns
مفردتكسير	مءس	qalsadi-nouns
مفردتكسير	نكرة	qalsadi-nouns
مفرزة	مفارز	qalsadi-nouns
مفرش	مفارش	qalsadi-nouns
مفرشة	مفارش	qalsadi-nouns
مفرغ	ات	qalsadi-nouns
مفرق	مفارق	qalsadi-nouns
مفسدة	مفاسد	qalsadi-nouns
مفسر	ون	qalsadi-nouns
مفسر	ات	qalsadi-nouns
مفصل	مفاصل	qalsadi-nouns
مفضلة	مفاضل	qalsadi-nouns
مفعول	مفاعيل	qalsadi-nouns
مفقود	ون	qalsadi-nouns
مفقود	ات	qalsadi-nouns
مفكر	ون	qalsadi-nouns
مفكر	ات	qalsadi-nouns
مفكرة	ات	qalsadi-nouns
مفلوج	مفاليج	qalsadi-nouns
مفهوم	مفاهيم	qalsadi-nouns
مقابل	ون	qalsadi-nouns
مقابل	ات	qalsadi-nouns
مقاليد	مفردمقلاد	qalsadi-nouns
مقبرة	مقابر	qalsadi-nouns
مقبس	مقابس	qalsadi-nouns
مقبض	مقابض	qalsadi-nouns
مقتل	مقاتل	qalsadi-nouns
مقداح	مقادح	qalsadi-nouns
مقدار	مقادير	qalsadi-nouns
مقدام	مقاديم	qalsadi-nouns
مقدح	مقادح	qalsadi-nouns
مقدر	ون	qalsadi-nouns
مقدر	ات	qalsadi-nouns
مقدرة	ات	qalsadi-nouns
مقذاف	مقاذيف	qalsadi-nouns
مقذوف	مقاذيف	qalsadi-nouns
مقراب	مقارب	qalsadi-nouns
مقراض	مقاريض	qalsadi-nouns
مقرر	ون	qalsadi-nouns
مقرر	ات	qalsadi-nouns
مقرعة	مقارع	qalsadi-nouns
مقرن	مقارن	qalsadi-nouns
مقشطة	مقاشط	qalsadi-nouns
مقص	مقاص	qalsadi-nouns
مقصد	مقاصد	qalsadi-nouns
مقصر	ون	qalsadi-nouns
مقصر	ات	qalsadi-nouns
مقصف	مقاصف	qalsadi-nouns
مقصور	ات	qalsadi-nouns
مقصور	مقاصير	qalsadi-nouns
مقصورة	مقاصير	qalsadi-nouns
مقطر	ون	qalsadi-nouns
مقطر	ات	qalsadi-nouns
مقطع	مقاطع	qalsadi-nouns
مقطف	مقاطف	qalsadi-nouns
مقطورة	ات	qalsadi-nouns
مقعد	مقاعد	qalsadi-nouns
مقلا	مقال	qalsadi-nouns
مقلا	المقالي	qalsadi-nouns
مقلاة	مقال	qalsadi-nouns
مقلاد	مقاليد	qalsadi-nouns
مقلاع	مقالع	qalsadi-nouns
مقلام	مقاليم	qalsadi-nouns
مقلب	مقالب	qalsadi-nouns
مقلة	مقل	qalsadi-nouns
مقلد	ون	qalsadi-nouns
مقلد	ات	qalsadi-nouns
مقلع	مقالع	qalsadi-nouns
مقمعة	مقامع	qalsadi-nouns
مقنب	مقانب	qalsadi-nouns
مقها	مقاه	qalsadi-nouns
مقها	المقاهي	qalsadi-nouns
مقود	مقاود	qalsadi-nouns
مقورة	مقاور	qalsadi-nouns
مقول	مقاول	qalsadi-nouns
مقياس	مقاييس	qalsadi-nouns
مقيت	مقتاء	qalsadi-nouns
مقيد	ون	qalsadi-nouns
مقيد	ات	qalsadi-nouns
مكا	امكاء	qalsadi-nouns
مكاء	مكاكي	qalsadi-nouns
مكاره	مفردمكره	qalsadi-nouns
مكان	امكنةامكنجاماكن	qalsadi-nouns
مكب	مكبات	qalsadi-nouns
مكب	مكاب	qalsadi-nouns
مكبح	مكابح	qalsadi-nouns
مكبس	مكابس	qalsadi-nouns
مكتب	مكاتب	qalsadi-nouns
مكتوب	مكاتيب	qalsadi-nouns
مكحلة	مكاحل	qalsadi-nouns
مكدر	ات	qalsadi-nouns
مكرج	مكارج	qalsadi-nouns
مكرمة	مكارم	qalsadi-nouns
مكرهة	مكاره	qalsadi-nouns
مكس	مكوس	qalsadi-nouns
مكسب	مكاسب	qalsadi-nouns
مكشط	مكاشط	qalsadi-nouns
مكمن	مكامن	qalsadi-nouns
مكمود	ون	qalsadi-nouns
مكمود	ات	qalsadi-nouns
مكنز	مكانز	qalsadi-nouns
مكنسة	مكانس	qalsadi-nouns
مكو	امكاء	qalsadi-nouns
مكواة	مكاو	qalsadi-nouns
مكواة	المكاوي	qalsadi-nouns
مكوك	مكاكيك	qalsadi-nouns
مكيال	مكاييل	qalsadi-nouns
مكيدة	مكاءد	qalsadi-nouns
ملءن	ملاء	qalsadi-nouns
ملا	املا	qalsadi-nouns
ملاءة	ملاء	qalsadi-nouns
ملابس	مفردملبس	qalsadi-nouns
ملاذ	ملاوذ	qalsadi-nouns
ملاط	ملط	qalsadi-nouns
ملاط	املطة	qalsadi-nouns
ملاك	ملاءكة	qalsadi-nouns
ملاك	ملاءك	qalsadi-nouns
ملامح	مفردملمح	qalsadi-nouns
ملبس	ملابس	qalsadi-nouns
ملبن	ملابن	qalsadi-nouns
ملة	ملل	qalsadi-nouns
ملجا	ملاجء	qalsadi-nouns
ملح	املاح	qalsadi-nouns
ملحة	ملح	qalsadi-nouns
ملحد	ملاحدة	qalsadi-nouns
ملحظ	ملاحظ	qalsadi-nouns
ملحفة	ملاحف	qalsadi-nouns
ملحق	ملاحق	qalsadi-nouns
ملحمة	ملاحم	qalsadi-nouns
ملزم	ملازم	qalsadi-nouns
ملزمة	ملازم	qalsadi-nouns
ملساء	ملس	qalsadi-nouns
ملطاس	ملاطيس	qalsadi-nouns
ملطاط	ملاطيط	qalsadi-nouns
ملطم	ملاطم	qalsadi-nouns
ملعب	ملاعب	qalsadi-nouns
ملعبة	ملاعب	qalsadi-nouns
ملعقة	ملاعق	qalsadi-nouns
ملعنة	ملاعن	qalsadi-nouns
ملعون	ملاعين	qalsadi-nouns
ملغم	ملاغم	qalsadi-nouns
ملفاف	ملافيف	qalsadi-nouns
ملقا	ملاق	qalsadi-nouns
ملقا	الملاقي	qalsadi-nouns
ملقاط	ملاقيط	qalsadi-nouns
ملقط	ملاقط	qalsadi-nouns
ملك	املاك	qalsadi-nouns
ملك	ملاءكة	qalsadi-nouns
ملك	ملوك	qalsadi-nouns
ملمح	ملامح	qalsadi-nouns
ملمس	ملامس	qalsadi-nouns
ملها	ملاه	qalsadi-nouns
ملها	الملاهي	qalsadi-nouns
مليء	ملاء	qalsadi-nouns
مليءة	ملاء	qalsadi-nouns
مليح	ملاح	qalsadi-nouns
مليح	ملحاء	qalsadi-nouns
مليك	ملكاء	qalsadi-nouns
مليون	ملايين	qalsadi-nouns
ممتص	ات	qalsadi-nouns
ممخضة	مماخض	qalsadi-nouns
ممر	ممرات	qalsadi-nouns
ممسا	ممسوات	qalsadi-nouns
ممسحة	مماسح	qalsadi-nouns
ممشا	مماش	qalsadi-nouns
ممشا	المماشي	qalsadi-nouns
ممشقة	مماشق	qalsadi-nouns
ممصل	مماصل	qalsadi-nouns
ممطر	مماطر	qalsadi-nouns
ممكنات	مفردممكن	qalsadi-nouns
مملوك	مماليك	qalsadi-nouns
مناجذ	مفردجلذ	qalsadi-nouns
مناجذ	منغيرلفظه	qalsadi-nouns
منار	مناور	qalsadi-nouns
منار	مناءر	qalsadi-nouns
مناسك	مفردمنسك	qalsadi-nouns
مناشد	ون	qalsadi-nouns
مناشد	ات	qalsadi-nouns
مناصر	ون	qalsadi-nouns
مناصر	ات	qalsadi-nouns
مناظر	ون	qalsadi-nouns
مناظر	ات	qalsadi-nouns
مناقب	مفردمنقبة	qalsadi-nouns
منبت	منابت	qalsadi-nouns
منبر	منابر	qalsadi-nouns
منبض	منابض	qalsadi-nouns
منبع	منابع	qalsadi-nouns
منبوذ	ون	qalsadi-nouns
منبوذ	ات	qalsadi-nouns
منة	منن	qalsadi-nouns
منتدا	منتديات	qalsadi-nouns
منثور	ات	qalsadi-nouns
منجا	مناج	qalsadi-nouns
منجا	المناجي	qalsadi-nouns
منجاة	مناج	qalsadi-nouns
منجاة	المناجي	qalsadi-nouns
منجب	مناجب	qalsadi-nouns
منجد	ون	qalsadi-nouns
منجد	ات	qalsadi-nouns
منجر	مناجر	qalsadi-nouns
منجز	ات	qalsadi-nouns
منجع	مناجع	qalsadi-nouns
منجل	مناجل	qalsadi-nouns
منجم	مناجم	qalsadi-nouns
منجنيق	مجانق	qalsadi-nouns
منجنيق	مجانيق	qalsadi-nouns
منجور	ات	qalsadi-nouns
منجور	مناجير	qalsadi-nouns
منحا	مناح	qalsadi-nouns
منحا	المناحي	qalsadi-nouns
منحاة	مناح	qalsadi-nouns
منحاة	المناحي	qalsadi-nouns
منحات	مناحيت	qalsadi-nouns
منحة	منح	qalsadi-nouns
منحت	مناحت	qalsadi-nouns
منحدر	ات	qalsadi-nouns
منحنا	منحنيات	qalsadi-nouns
منخر	مناخر	qalsadi-nouns
مندب	منادب	qalsadi-nouns
مندف	منادف	qalsadi-nouns
مندوب	مناديب	qalsadi-nouns
منديل	مناديل	qalsadi-nouns
منزع	منازع	qalsadi-nouns
منزل	منازل	qalsadi-nouns
منزلة	منازل	qalsadi-nouns
منزه	منازه	qalsadi-nouns
منساج	مناسيج	qalsadi-nouns
منسف	مناسف	qalsadi-nouns
منسك	مناسك	qalsadi-nouns
منسم	مناسم	qalsadi-nouns
منسوب	مناسيب	qalsadi-nouns
منشار	مناشير	qalsadi-nouns
منشر	مناشر	qalsadi-nouns
منشفة	مناشف	qalsadi-nouns
منشور	مناشير	qalsadi-nouns
منصب	مناصب	qalsadi-nouns
منصف	مناصف	qalsadi-nouns
منضحة	مناضح	qalsadi-nouns
منضد	ون	qalsadi-nouns
منضد	ات	qalsadi-nouns
منضدة	مناضد	qalsadi-nouns
منطاد	مناطيد	qalsadi-nouns
منطقة	مناطق	qalsadi-nouns
منطقي	مناطقة	qalsadi-nouns
منظار	مناظير	qalsadi-nouns
منظر	مناظر	qalsadi-nouns
منظفات	مفردمنظفة	qalsadi-nouns
منعا	مناع	qalsadi-nouns
منعا	المناعي	qalsadi-nouns
منعاة	مناع	qalsadi-nouns
منعاة	المناعي	qalsadi-nouns
منفا	مناف	qalsadi-nouns
منفا	المنافي	qalsadi-nouns
منفاخ	منافيخ	qalsadi-nouns
منفخ	منافخ	qalsadi-nouns
منفذ	ون	qalsadi-nouns
منفذ	ات	qalsadi-nouns
منفذ	منافذ	qalsadi-nouns
منفر	ون	qalsadi-nouns
منفر	ات	qalsadi-nouns
منفضة	منافض	qalsadi-nouns
منفعة	منافع	qalsadi-nouns
منقار	مناقير	qalsadi-nouns
منقبة	مناقب	qalsadi-nouns
منقعة	مناقع	qalsadi-nouns
منقل	مناقل	qalsadi-nouns
منكاش	مناكش	qalsadi-nouns
منكب	مناكبمثنامنكبان	qalsadi-nouns
منكود	مناكيد	qalsadi-nouns
منكور	مناكير	qalsadi-nouns
منهاج	مناهج	qalsadi-nouns
منهار	ون	qalsadi-nouns
منهار	ات	qalsadi-nouns
منهج	مناهج	qalsadi-nouns
منهل	مناهل	qalsadi-nouns
منوال	مناويل	qalsadi-nouns
منية	منايا	qalsadi-nouns
منية	منا	qalsadi-nouns
منيع	منعاء	qalsadi-nouns
مهاة	مها	qalsadi-nouns
مهاة	مهوات	qalsadi-nouns
مهاد	امهدة	qalsadi-nouns
مهاد	مهد	qalsadi-nouns
مهب	مهاب	qalsadi-nouns
مهبط	مهابط	qalsadi-nouns
مهبطة	مهابط	qalsadi-nouns
مهبل	مهابل	qalsadi-nouns
مهجة	مهج	qalsadi-nouns
مهجر	مهاجر	qalsadi-nouns
مهد	مهود	qalsadi-nouns
مهذار	مهاذير	qalsadi-nouns
مهر	مهرة	qalsadi-nouns
مهر	امهار	qalsadi-nouns
مهر	مهار	qalsadi-nouns
مهر	مهور	qalsadi-nouns
مهراس	مهارس	qalsadi-nouns
مهرق	مهارق	qalsadi-nouns
مهزلة	مهازل	qalsadi-nouns
مهلكة	مهالك	qalsadi-nouns
مهماز	مهاميز	qalsadi-nouns
مهمز	مهامز	qalsadi-nouns
مهنة	مهن	qalsadi-nouns
مهوا	مهاو	qalsadi-nouns
مهوا	المهاوي	qalsadi-nouns
مهواة	مهاو	qalsadi-nouns
مهواة	المهاوي	qalsadi-nouns
مهين	مهناء	qalsadi-nouns
مواشي	مفردماشية	qalsadi-nouns
موال	مواويل	qalsadi-nouns
موتة	ات	qalsadi-nouns
موثق	مواثق	qalsadi-nouns
موثق	مياثق	qalsadi-nouns
موجة	امواج	qalsadi-nouns
موجة	موجات	qalsadi-nouns
موجز	مواجز	qalsadi-nouns
موحل	مواحل	qalsadi-nouns
مورد	موارد	qalsadi-nouns
موسا	مواس	qalsadi-nouns
موسا	امواس	qalsadi-nouns
موسر	مياسر	qalsadi-nouns
موسم	مواسم	qalsadi-nouns
موصل	مواصل	qalsadi-nouns
موضع	مواضع	qalsadi-nouns
موضوع	مواضيع	qalsadi-nouns
موطء	مواطء	qalsadi-nouns
موطد	ون	qalsadi-nouns
موطد	ات	qalsadi-nouns
موطن	مواطن	qalsadi-nouns
موعد	مواعد	qalsadi-nouns
موعظة	مواعظ	qalsadi-nouns
موعود	مواعيد	qalsadi-nouns
موقد	مواقد	qalsadi-nouns
موقع	مواقع	qalsadi-nouns
موقعة	مواقع	qalsadi-nouns
موقف	مواقف	qalsadi-nouns
موكب	مواكب	qalsadi-nouns
مولا	موال	qalsadi-nouns
مولا	الموالي	qalsadi-nouns
مولاة	موال	qalsadi-nouns
مولاة	الموالي	qalsadi-nouns
مولج	موالج	qalsadi-nouns
مولد	ون	qalsadi-nouns
مولد	ات	qalsadi-nouns
مولد	موالد	qalsadi-nouns
مولود	مواليد	qalsadi-nouns
مومس	موامس	qalsadi-nouns
مومس	ميامس	qalsadi-nouns
مونة	مون	qalsadi-nouns
موهبة	مواهب	qalsadi-nouns
ميت	اموات	qalsadi-nouns
ميت	موتا	qalsadi-nouns
ميتم	مياتم	qalsadi-nouns
ميثاق	مواثيق	qalsadi-nouns
ميداعة	موادع	qalsadi-nouns
ميدان	ميادين	qalsadi-nouns
ميراث	مواريث	qalsadi-nouns
ميزاب	ميازيب	qalsadi-nouns
ميزان	موازين	qalsadi-nouns
ميسرة	مياسر	qalsadi-nouns
ميسم	مياسم	qalsadi-nouns
ميسور	مياسر	qalsadi-nouns
ميعاد	مواعيد	qalsadi-nouns
ميقات	مواقيت	qalsadi-nouns
ميل	اميال	qalsadi-nouns
ميل	اميل	qalsadi-nouns
ميل	ميول	qalsadi-nouns
ميمنة	ميامين	qalsadi-nouns
ميمون	ميامين	qalsadi-nouns
ميناء	موان	qalsadi-nouns
ميناء	موانء	qalsadi-nouns
ناءب	نواب	qalsadi-nouns
ناءبة	نواءب	qalsadi-nouns
ناءح	نواءح	qalsadi-nouns
ناءم	نيام	qalsadi-nouns
ناءم	نوام	qalsadi-nouns
ناءي	ون	qalsadi-nouns
ناب	انياب	qalsadi-nouns
ناب	نيوب	qalsadi-nouns
نابح	نوابح	qalsadi-nouns
نابع	نوابع	qalsadi-nouns
نابغ	نوابغ	qalsadi-nouns
نابل	نبل	qalsadi-nouns
نابه	نبهاء	qalsadi-nouns
ناثر	ون	qalsadi-nouns
ناجذ	نواجذ	qalsadi-nouns
ناجع	نواجع	qalsadi-nouns
ناجي	ون	qalsadi-nouns
ناحل	نحول	qalsadi-nouns
ناحل	نواحل	qalsadi-nouns
ناحي	نحاة	qalsadi-nouns
ناحية	نواح	qalsadi-nouns
ناحية	النواحي	qalsadi-nouns
ناخر	نخر	qalsadi-nouns
نادر	نوادر	qalsadi-nouns
نادرة	نوادر	qalsadi-nouns
نادل	ندل	qalsadi-nouns
نادي	اندية	qalsadi-nouns
نادي	نواد	qalsadi-nouns
نادي	النواد	qalsadi-nouns
نار	نيران	qalsadi-nouns
نازف	نزف	qalsadi-nouns
نازل	نوازل	qalsadi-nouns
نازلة	نوازل	qalsadi-nouns
ناسء	نساة	qalsadi-nouns
ناسخ	نساخ	qalsadi-nouns
ناسغ	نسغ	qalsadi-nouns
ناسك	نساك	qalsadi-nouns
ناسل	نسل	qalsadi-nouns
ناشء	نشء	qalsadi-nouns
ناشب	جنشابة	qalsadi-nouns
ناشد	ون	qalsadi-nouns
ناشد	ات	qalsadi-nouns
ناشر	ون	qalsadi-nouns
ناشر	ات	qalsadi-nouns
ناشز	ون	qalsadi-nouns
ناشز	ات	qalsadi-nouns
ناشز	نواشز	qalsadi-nouns
ناصب	نواصب	qalsadi-nouns
ناصر	ون	qalsadi-nouns
ناصر	ات	qalsadi-nouns
ناصر	نصار	qalsadi-nouns
ناصر	انصار	qalsadi-nouns
ناصف	نصاف	qalsadi-nouns
ناصف	نواصف	qalsadi-nouns
ناصية	نواص	qalsadi-nouns
ناصية	النواصي	qalsadi-nouns
ناضب	نضب	qalsadi-nouns
ناضح	نواضح	qalsadi-nouns
ناضر	نضر	qalsadi-nouns
ناضر	نواضر	qalsadi-nouns
ناطح	نواطح	qalsadi-nouns
ناطر	ون	qalsadi-nouns
ناطر	ات	qalsadi-nouns
ناطر	نطار	qalsadi-nouns
ناطر	نطرة	qalsadi-nouns
ناطور	نطار	qalsadi-nouns
ناطور	نواطير	qalsadi-nouns
ناظر	ون	qalsadi-nouns
ناظر	ات	qalsadi-nouns
ناظر	نظارة	qalsadi-nouns
ناظر	نظار	qalsadi-nouns
ناظر	نو	qalsadi-nouns
ناظور	نواظير	qalsadi-nouns
ناعب	نعب	qalsadi-nouns
ناعب	نواعب	qalsadi-nouns
ناعتة	نواعت	qalsadi-nouns
ناعق	نعقة	qalsadi-nouns
ناعق	نعاق	qalsadi-nouns
ناعق	نواعق	qalsadi-nouns
ناعم	نواعم	qalsadi-nouns
ناعورة	نواعير	qalsadi-nouns
ناعي	ون	qalsadi-nouns
ناعي	نعاة	qalsadi-nouns
نافث	نوافيث	qalsadi-nouns
نافذ	ون	qalsadi-nouns
نافذ	ات	qalsadi-nouns
نافذة	نوافذ	qalsadi-nouns
نافر	ون	qalsadi-nouns
نافر	ات	qalsadi-nouns
نافر	نفر	qalsadi-nouns
نافس	ون	qalsadi-nouns
